DBA,ZIPCODE,Longitude_x,Latitude_x,VIOLATION CODE,Borough
3 Towns Cafe,11358.0,-73.796291163415,40.773360146787,"10F, 08A, 04N, 04H, 06C, 10B, 10H, 02B, 06D",QUEENS
3-J RESTAURANT AND PIZZA,10455.0,-73.904411302372,40.812394239758,"08C, 02G, 04N, 10F, 04A, 06C, 04M, 06B, 02B, 20F, 10B, 08A, 10D, 04L, 06E, 20-06",BRONX
301,11693.0,-73.811402103063,40.58753139764,"04L, 08C, 02B, 10F, 08A, 04M",QUEENS
301 1ST AVE DORM,10003.0,-73.980923056176,40.733402699445,"09C, 08B, 10F",MANHATTAN
31 LILY'S,10038.0,-73.997828515178,40.712126831661,"04M, 10F, 08A, 10B, 06C",MANHATTAN
310 BOWERY BAR,10012.0,-73.992373098007,40.724796447166,"08C, 10H, 04N, 08B, 08A",MANHATTAN
333 LOUNGE,11217.0,-73.972877691764,40.677759091219,"02B, 04A, 08A, 10F, 04N, 02G, 04L, 04C, 10B, 10G, 05D",BROOKLYN
340 BLEECKER LLC,10014.0,-74.004438197819,40.733717103018,Missing,MANHATTAN
345 CANTINA,10003.0,-73.987429998399,40.726936929705,"09A, 04K, 08A, 04C, 06D, 04M, 04H, 04A, 10F, 10G, 09B, 06E, 08C, 20F, 04N, 16-02",MANHATTAN
34th BAGELS AND MORE,10001.0,-73.995185147241,40.752916701024,"04L, 08A, 06C, 02G, 04E, 10F, 04N, 04A, 04M",MANHATTAN
353 MOUNTAIN HOUSE LLC,10036.0,-73.989398184962,40.760417739497,Missing,MANHATTAN
357 HONG KONG CAFE,11238.0,-73.956867871152,40.687166018725,"04K, 06C, 10A, 04M, 02H, 08A, 09C, 04H, 10B, 06B",BROOKLYN
"35TH AVE HOTEL, LLC",11354.0,-73.833109879006,40.762160573126,Missing,QUEENS
36 LUNAR KITCHEN,11220.0,-74.004439173264,40.640394796163,"10F, 06C, 10B",BROOKLYN
367 ZINGER CHICKEN & GRILL INC.,11223.0,-73.969438703721,40.590633342082,Missing,BROOKLYN
369 BBQ,11355.0,-73.818638353671,40.750149480934,"10B, 06D, 09C, 06E, 06A",QUEENS
